Provider ID,City,Store name,Address,Latitude,Longitude,Manual_radius_km,Est_CPO_EUR
682670,Kyiv,"ФОРА вул. Тампере, 12","Київ, вул. Тампере, 12",50.443025,30.613785,1.3,1.94
352667,Kyiv,"ФОРА вул. Б. Хмельницького, 39/2","Київ, вул. Б. Хмельницького, 39/2",50.447142,30.503254,1.8,2.02
982684,Kyiv,"ФОРА вул. Будівельників, 8","Київ, вул. Будівельників, 8",50.445097,30.623156,1.3,1.94
352668,Kyiv,"ФОРА вул. Ентузіастів, 37","Київ, вул. Ентузіастів, 37",50.442915,30.599197,1.3,1.94
442675,Kyiv,"ФОРА вул. Світлицького, 26 Б","Київ, вул. Світлицького, 26 Б",50.513835,30.428467,1.3,1.94
682671,Kyiv,"ФОРА вул. Закревського, 87","Київ, вул. Закревського, 87",50.525833,30.62764,1.3,1.94
562669,Kyiv,"ФОРА вул. Печенізька, 1/7а","Київ, вул. Печенізька, 1/7а",50.469953,30.488974,1.5,1.97
652685,Kyiv,"ФОРА вул. Гетьмана, 34","Київ, вул. Гетьмана, 34",50.442452,30.442448,1.3,1.94
292685,Kyiv,"ФОРА вул. Борщагівська, 128","Київ, вул. Борщагівська, 128",50.446775,30.452007,1.3,1.94
412677,Kyiv,"ФОРА вул. Левицького, 19а","Київ, вул. Левицького, 19а",50.478352,30.63142,1.3,1.94
352669,Kyiv,"ФОРА вул. Ружинська, 26/41","Київ, вул. Ружинська, 26/41",50.46962,30.414149,1.4,1.95
622696,Kyiv,"ФОРА вул. Покотила Володимира, 7/2","Київ, вул. Покотила Володимира, 7/2",50.4241,30.385029,1.3,1.94
352670,Kyiv,"ФОРА вул. Білецького, 3","Київ, вул. Білецького, 3",50.431571,30.421396,1.3,1.94
382676,Kyiv,"ФОРА вул. Генерала Воробйова, 11","Київ, вул. Генерала Воробйова, 11",50.436154,30.46876,1.4,1.95
562670,Kyiv,"ФОРА вул. Зодчих, 16","Київ, вул. Зодчих, 16",50.414867,30.381758,2.3,2.10
982685,Kyiv,"ФОРА вул. Вереснева, 24","Київ, вул. Вереснева, 24",50.425052,30.664985,1.5,1.97
742688,Kyiv,"ФОРА просп. Червоної Калини, 63/12","Київ, просп. Червоної Калини, 63/12",50.513615,30.613547,1.5,1.97
