City,Store name,Address,Latitude,Longitude,Radius_OptionA_cityUniform_km,Radius_OptionB_perStore_km,Radius_OptionC_countryUnified_km,OptionB_demand_reach_%,OptionB_cannibalization_%,OptionB_CPO_EUR
Kyiv,"ANRI-PHARM, вул. Метрологічна,19 (НОВУС)","м. Київ, вул. Метрологічна,19 (НОВУС)",50.349612,30.47717,3.0,2.4,3.0,3.2,99.5,1.75
Kyiv,"ANRI-PHARM, вул. Польова,73 Караваєві дачі","м. Київ, вул. Польова,73 Караваєві дачі",50.435602,30.445819,3.0,2.7,3.0,6.2,56.5,1.797
Kyiv,"ANRI-PHARM, вул. Регенераторна, 4 крп. 11, ЖК ""КомфортТаун"" КТ 2","м. Київ, вул. Регенераторна, 4 крп. 11",50.43526,30.61891,3.0,1.7,3.0,2.9,100.0,1.638
Kyiv,"ANRI-PHARM, вул. Руданського Степана,4-6 (Аптека Америка)","м. Київ, вул. Руданського Степана,4-6",50.469,30.43123,3.0,3.1,3.0,7.3,50.1,1.861
Kyiv,"ANRI-PHARM, вул. Тютюнника Василя (вул. Барбюса Анрі), 56","м. Київ, вул. Тютюнника Василя (вул. Барбюса Анрі), 56",50.41762,30.52751,3.0,1.5,3.0,2.1,100.0,1.606
Kyiv,"ANRI-PHARM, вул. Щербаківського, буд. 52","м. Київ, вул. Щербаківського, буд. 52",50.471161,30.407034,3.0,1.7,3.0,2.4,98.1,1.638
Kyiv,"ANRI-PHARM, вул.Андрія Верхогляда 14","вул.Андрія Верхогляда 14, Київ",50.41261,30.54556,3.0,1.7,3.0,2.4,100.0,1.638
Kyiv,"ANRI-PHARM, вул.Березнева 12, ""КТ-3""","м. Київ, вул.Березнева 12, ""КТ-3""",50.431333,30.620894,3.0,1.8,3.0,3.1,97.5,1.654
Kyiv,"ANRI-PHARM, вул.Богдана Хмельницького, 66","м. Київ, вул.Богдана Хмельницького, 66",50.4477,30.504309,3.0,1.5,3.0,2.3,98.0,1.606
Kyiv,"ANRI-PHARM, вул.Гмирі Бориса 14-А,прим 217","м.Київ, вул.Гмирі Бориса 14-А",50.39113,30.63107,3.0,1.5,3.0,1.3,100.0,1.606
Kyiv,"ANRI-PHARM, вул.Ернста, 16Б","м. Київ, вул.Ернста, 16Б",50.415801,30.461784,3.0,1.5,3.0,1.6,72.1,1.606
Kyiv,"ANRI-PHARM, вул.Золотоустівська 25, ЖК Шевченківський","м.Київ, вул.Золотоустівська 25, ЖК Шевченківський",50.4519,30.4868,3.0,1.5,3.0,2.1,100.0,1.606
Kyiv,"ANRI-PHARM, вул.О.Пчілки, 2а","м. Київ, вул.О.Пчілки, 2а",50.417045,30.624694,3.0,1.6,3.0,2.2,73.5,1.622
Kyiv,"ANRI-PHARM, вул.Панельна, 6 (Аболмасова Андрія)","Andriia Abolmasova St, 6, Kyiv, Ukraine, 02005",50.459374,30.585287,3.0,3.0,3.0,4.5,18.1,1.845
Kyiv,"ANRI-PHARM, вул.Сім'ї Кульженків, 37 (ЖК Яскравий)","м. Київ, вул.Сім'ї Кульженків, 37 (ЖК Яскравий)",50.522552,30.467198,3.0,3.2,3.0,5.9,33.8,1.877
Kyiv,"ANRI-PHARM, вул.Теремківська, буд. 4-А (ЖК Республіка)","м. Київ, вул.Теремківська, буд. 4-А (ЖК Республіка)",50.371896,30.449707,3.0,1.6,3.0,1.9,100.0,1.622
Kyiv,"ANRI-PHARM, м. Ірпінь, вул. Університетська, 2ф/2, ЖК Карат","м. Ірпінь, вул. Університетська, 2ф/2, ЖК Карат",50.50589,30.23448,3.0,3.0,3.0,5.4,0.0,1.845
Kyiv,"ANRI-PHARM, м. Бровари, вул. Чорновола, 6А","Viacheslava Chornovola St, 6А, Brovary, Kyivs'ka oblast, 07400",50.51788,30.78106,3.0,3.0,3.0,2.4,0.0,1.845
Kyiv,"ANRI-PHARM, м. Вишгород,Кургузова,1-А,корп.3 (Вышгород-1)","м. Вишгород,Кургузова,1-А,корп.3 (Вышгород-1)",50.58354,30.47361,3.0,3.0,3.0,2.8,0.0,1.845
Kyiv,"ANRI-PHARM, провулок Ясинуватський, буд. 10","м. Київ, провулок Ясинуватський, буд. 10",50.410111,30.507309,3.0,1.6,3.0,2.2,35.6,1.622
Kyiv,"ANRI-PHARM, проспект Палладіна Академіка, буд. 22","м. Київ, проспект Палладіна Академіка, буд. 22",50.461461,30.357163,3.0,2.3,3.0,4.0,47.8,1.734
Kyiv,"ANRI-PHARM, с. Крюківщина, вул. Жулянська, 2а, ЖК""Євромісто""","с. Крюківщина, вул.  Жулянська, 2а, ЖК""Євромісто""",50.3764,30.37837,3.0,2.5,3.0,5.6,94.3,1.766
