City,Store name,Address,Latitude,Longitude,Radius_OptionA_cityUniform_km,Radius_OptionB_perStore_km,Radius_OptionC_countryUnified_km,OptionB_demand_reach_%,OptionB_cannibalization_%,OptionB_CPO_EUR
Kyiv,"ФОРА бульв. Гавела Вацлава, 54/26","Київ, бульв. Гавела Вацлава, 54/26",50.42352,30.425911,1.5,1.3,1.6,1.1,90.1,1.936
Kyiv,"ФОРА просп. Науки, 24","Київ, просп. Науки, 24",50.399612,30.528962,1.5,1.3,1.6,0.9,93.0,1.936
Kyiv,"ФОРА вул. Ак. Кіпріанова, 8","Київ, вул. Ак. Кіпріанова, 8",50.439396,30.37872,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Миропільська, 11","Київ, вул. Миропільська, 11",50.465044,30.625231,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Драгоманова, 19","Київ, вул. Драгоманова, 19",50.408151,30.639838,1.5,1.4,1.6,1.2,100.0,1.952
Kyiv,"ФОРА вул. Ревуцького, 26","Київ, вул. Ревуцького, 26",50.408696,30.647077,1.5,1.5,1.6,1.4,100.0,1.968
Kyiv,"ФОРА вул. Ак. Корольова, 8","Київ, вул. Ак. Корольова, 8",50.429495,30.393127,1.5,1.3,1.6,1.1,99.2,1.936
Kyiv,"ФОРА вул. Чорновола, 46-Б","Вишневе, вул. Чорновола, 46-Б",50.388055,30.391936,1.5,1.4,1.6,1.2,99.3,1.952
Kyiv,"ФОРА вул. Л.Українки, 19","Софіївська Борщагівка, вул. Л.Українки, 19",50.40183,30.378721,1.5,1.4,1.6,1.3,100.0,1.952
Kyiv,"ФОРА вул. Володимирська, 2г","Святопетрівське, вул. Володимирська, 2г",50.381606,30.322064,1.5,2.0,1.6,1.8,50.2,2.048
Kyiv,"ФОРА вул. Тампере, 12","Київ, вул. Тампере, 12",50.443025,30.613785,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Б. Хмельницького, 39/2","Київ, вул. Б. Хмельницького, 39/2",50.447142,30.503254,1.5,1.4,1.6,1.2,81.3,1.952
Kyiv,"ФОРА вул. Будівельників, 8","Київ, вул. Будівельників, 8",50.445097,30.623156,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Ентузіастів, 37","Київ, вул. Ентузіастів, 37",50.442915,30.599197,1.5,1.3,1.6,0.9,100.0,1.936
Kyiv,"ФОРА вул. Світлицького, 26 Б","Київ, вул. Світлицького, 26 Б",50.513835,30.428467,1.5,1.3,1.6,1.0,95.1,1.936
Kyiv,"ФОРА вул. Закревського, 87","Київ, вул. Закревського, 87",50.525833,30.62764,1.5,1.3,1.6,0.6,100.0,1.936
Kyiv,"ФОРА вул. Печенізька, 1/7а","Київ, вул. Печенізька, 1/7а",50.469953,30.488974,1.5,1.5,1.6,1.4,100.0,1.968
Kyiv,"ФОРА вул. Гетьмана, 34","Київ, вул. Гетьмана, 34",50.442452,30.442448,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Борщагівська, 128","Київ, вул. Борщагівська, 128",50.446775,30.452007,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Левицького, 19а","Київ, вул. Левицького, 19а",50.478352,30.63142,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Ружинська, 26/41","Київ, вул. Ружинська, 26/41",50.46962,30.414149,1.5,1.4,1.6,1.2,100.0,1.952
Kyiv,"ФОРА вул. Покотила Володимира, 7/2","Київ, вул. Покотила Володимира, 7/2",50.4241,30.385029,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Білецького, 3","Київ, вул. Білецького, 3",50.431571,30.421396,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Генерала Воробйова, 11","Київ, вул. Генерала Воробйова, 11",50.436154,30.46876,1.5,1.4,1.6,1.3,92.3,1.952
Kyiv,"ФОРА вул. Зодчих, 16","Київ, вул. Зодчих, 16",50.414867,30.381758,1.5,1.4,1.6,1.2,97.4,1.952
Kyiv,"ФОРА вул. Вереснева, 24","Київ, вул. Вереснева, 24",50.425052,30.664985,1.5,1.5,1.6,1.2,95.2,1.968
Kyiv,"ФОРА просп. Червоної Калини, 63/12","Київ, просп. Червоної Калини, 63/12",50.513615,30.613547,1.5,1.5,1.6,1.3,95.2,1.968
Kyiv,"ФОРА бульв. Шевченка, 1","Святопетрівське, бульв. Шевченка, 1",50.396279,30.317934,1.5,1.5,1.6,1.1,96.4,1.968
Kyiv,"ФОРА вул. Метрологічна, 14 Б","Київ, вул. Метрологічна, 14 Б",50.349825,30.476437,1.5,1.6,1.6,1.2,59.7,1.984
Kyiv,"ФОРА вул. Якуба Коласа, 25","Київ, вул. Якуба Коласа, 25",50.43716,30.382855,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Кирилівська, 122/1","Київ, вул. Кирилівська, 122/1",50.483196,30.476838,1.5,1.4,1.6,1.3,84.0,1.952
Kyiv,"ФОРА вул. Ентузіастів, 7","Київ, вул. Ентузіастів, 7",50.435703,30.600647,1.5,1.3,1.6,0.9,100.0,1.936
Kyiv,"ФОРА вул. Лук'янівська, 1","Київ, вул. Лук'янівська, 1",50.465588,30.492514,1.5,1.5,1.6,1.4,93.7,1.968
Kyiv,"ФОРА вул. Єфремова, 8 А","Київ, вул. Єфремова, 8 А",50.464965,30.351885,1.5,1.4,1.6,1.2,98.7,1.952
Kyiv,"ФОРА вул. Деревлянська, 14","Київ, вул. Деревлянська, 14",50.465809,30.469159,1.5,1.4,1.6,1.2,94.2,1.952
Kyiv,"ФОРА вул. Жулянська, 1 А","Крюківщина, вул. Жулянська, 1 А",50.377022,30.379092,1.5,1.6,1.6,1.6,100.0,1.984
Kyiv,"ФОРА просп. Любомира Гузара, 28","Київ, просп. Любомира Гузара, 28",50.438597,30.419663,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Мрії, 16Б","Київ, вул. Мрії, 16Б",50.474964,30.396271,1.5,1.7,1.6,1.8,100.0,2.0
Kyiv,"ФОРА вул. Верхогляда, 2 А","Київ, вул. Верхогляда, 2 А",50.413568,30.544381,1.5,1.6,1.6,1.6,93.8,1.984
Kyiv,"ФОРА вул. Садова, 1 Г","Петропавлівська Борщагівка, вул. Садова, 1 Г",50.433866,30.330377,1.5,1.5,1.6,1.4,99.4,1.968
Kyiv,"ФОРА вул. Заболотного, 128 А","Київ, вул. Заболотного, 128 А",50.360654,30.469912,1.5,1.5,1.6,1.1,100.0,1.968
Kyiv,"ФОРА вул. Бучми, 6 А","Київ, вул. Бучми, 6 А",50.431547,30.603719,1.5,1.3,1.6,1.0,100.0,1.936
Kyiv,"ФОРА вул. Тичини, 15 А","Київ, вул. Тичини, 15 А",50.431918,30.610421,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Пулюя, 5","Київ, вул. Пулюя, 5",50.415271,30.465159,1.5,1.4,1.6,1.2,81.3,1.952
Kyiv,"ФОРА вул. Чорних Запорожців, 28","Київ, вул. Чорних Запорожців, 28",50.479757,30.605754,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Яблунева, 13 А","Софіївська Борщагівка, вул. Яблунева, 13 А",50.400902,30.392829,1.5,1.5,1.6,1.4,94.3,1.968
Kyiv,"ФОРА вул. Сагайдачного, 20А","Софіївська Борщагівка, вул. Сагайдачного, 20А",50.404432,30.335944,1.5,1.5,1.6,1.4,100.0,1.968
Kyiv,"ФОРА вул. Львівська, 1 А","Петропавлівська Борщагівка, вул. Львівська, 1 А",50.433721,30.318293,1.5,1.7,1.6,1.5,79.9,2.0
Kyiv,"ФОРА вул. Доківська, 14/1","Коцюбинське, вул. Доківська, 14/1",50.491513,30.335365,1.5,1.8,1.6,1.3,91.1,2.016
Kyiv,"ФОРА вул. Інститутська, 16","Гатне, вул. Інститутська, 16",50.356432,30.43721,1.5,1.4,1.6,1.2,99.4,1.952
Kyiv,"ФОРА вул. Волинська, 9б","Київ, вул. Волинська, 9б",50.429382,30.451266,1.5,1.4,1.6,1.2,100.0,1.952
Kyiv,"ФОРА вул. Кирила Осьмака, 1Б","Київ, вул. Кирила Осьмака, 1Б",50.385199,30.69327,1.5,1.6,1.6,1.3,15.2,1.984
Kyiv,"ФОРА вул. Київська, 2-Л","Вишневе, вул. Київська, 2-Л",50.390391,30.359834,1.5,1.3,1.6,1.1,97.0,1.936
Kyiv,"ФОРА вул. Одеська, 70","Крюківщина, вул. Одеська, 70",50.369674,30.388821,1.5,2.1,1.6,2.8,78.3,2.064
Kyiv,"ФОРА Машинобудівельн, 5Д","Чабани, Машинобудівельн, 5Д",50.342633,30.427284,1.5,1.8,1.6,1.6,52.5,2.016
Kyiv,"ФОРА вул. Соборна, 16","Петропавлівська Борщагівка, вул. Соборна, 16",50.437223,30.346943,1.5,1.3,1.6,1.1,84.7,1.936
Kyiv,"ФОРА пл. Михайлівська, 6","Боярка, пл. Михайлівська, 6",50.317714,30.297758,1.5,1.3,1.6,0.9,73.3,1.936
Kyiv,"ФОРА вул. Приміська, 26","Новосілки, вул. Приміська, 26",50.356227,30.43875,1.5,1.4,1.6,1.2,100.0,1.952
Kyiv,"ФОРА вул. Тираспольська, 56","Київ, вул. Тираспольська, 56",50.480841,30.414301,1.5,1.5,1.6,1.4,95.5,1.968
Kyiv,"ФОРА вул. Васильківська, 21","Новосілки, вул. Васильківська, 21",50.352417,30.45941,1.5,1.4,1.6,1.1,100.0,1.952
Kyiv,"ФОРА пров. Ізяславський, 46-49","Київ, пров. Ізяславський, 46-49",50.395466,30.425644,1.5,1.8,1.6,2.0,22.0,2.016
Kyiv,"ФОРА вул. Пономарьова, 26","Коцюбинське, вул. Пономарьова, 26",50.488403,30.342335,1.5,1.7,1.6,1.5,85.8,2.0
Kyiv,"ФОРА бульв. Л.Українки, 28","Київ, бульв. Л.Українки, 28",50.425229,30.541101,1.5,2.2,1.6,3.0,52.0,2.08
Kyiv,"ФОРА вул. О.Вишні, 3","Вишневе, вул. О.Вишні, 3",50.391313,30.373391,1.5,1.3,1.6,1.1,100.0,1.936
